entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:DistributionNetworkServicesDNO-340	340	Distribution Network Services DNO	Distribution Network Services DNO	Role		Organization responsible for managing the electricity, gas, heat and/or water network supplying consumer premises.Also referred to as DSO.							
entity:DistributionNetworkSimulation-341	341	Distribution network simulation	Distribution network simulation	Service	Conceptual	Provides a simulation environment to conduct multi-scenario contingency analysis		Automation Service	Distribution				
entity:DistributionOperationsModelAndAnalysis-DOMA--342	342	Distribution Operations Model and Analysis (DOMA)	Distribution Operations Model and Analysis (DOMA)			Topological model of distribution system, including the location and profile characteristics of all distribution equipment and DER systems (individually and/or in aggregate). This model is derived from the geographic model in the GIS, the facilities information (often included in the GIS and/or an asset management database), and the DER profiles (derived from the CIS and DER characteristics database)							
entity:DistributionOperationsTraining--343	343	Distribution operations training:	Distribution operations training:	Service	Conceptual	  This service provides a comprehensive program of training for distribution operations personnel.		Business Service	Distribution				
entity:DistributionServices-344	344	Distribution Services	Distribution Services	Actor	Logical - 1st	An entity which carries the responsibility of operating an electricity distribution system.	NAE: Utility System Operator	Organization	Operations	Operations	 role	grid operator	
entity:DistributionPlanning--345	345	Distribution Planning:	Distribution Planning:	Service	Conceptual	 This service manages the distribution planning processes.		Business Service	Distribution				
entity:DistributionProtectionAndControlDevices-346	346	Distribution Protection and Control Devices	Distribution Protection and Control Devices	Role	Conceptual	Performed by Actors that react rapidly to faults and other events that might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. Devices external to a substation which control and protect the distribution system. Examples include Capabitors, Sectionalizers, circuit breakers	CM: Distribution.Protect	Device	Distribution		system actor	grid operator	
entity:DistributionProtectionDevices-347	347	Distribution Protection Devices	Distribution Protection Devices	Role	Conceptual	Actors that react rapidly to faults and other events in the system which might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. Examples include FACTs devices, switches,circuit interrupters, capacitors, Reactors, fuses	CM: Distribution.Protect; IE: Distribution Protection & Control Devices	Device	Distribution		system actor	grid operator	
entity:DistributionRecordService-348	348	Distribution Record Service	Distribution Record Service	Service	Conceptual	Service performed by actors that permit other domains to review what has happened on the grid for financial, engineering, operational, compliance and forecasting purposes.	CM: Distribution Record	Application	Distribution		system actor	grid operator	
entity:DistributionSCADASystem-DSCADA--349	349	Distribution SCADA System (DSCADA)	Distribution SCADA System (DSCADA)										
entity:DistributionSensor-350	350	Distribution Sensor	Distribution Sensor	Actor	Logical	A Distribution System device (outside the substation) that measures a physical quantity and converts it into a signal which can be read by an observer or by an instrument. Examples include oscillographs, meters, temperature sensors.	IE: Sensors and Measurement Devices	Device	Distribution		system actor	grid operator	
entity:DistributionStabilizeAndOptimize-351	351	Distribution Stabilize and Optimize	Distribution Stabilize and Optimize	Service	Conceptual	Performed by actors to ensure the network is operating within appropriate tolerances across the system. They  gather information for control decisions that ensure reliable, proper operations (stability) and more efficient operations (optimization). Measurement and control form a feedback loop that allows grid operators to stabilize the flow of energy across the electric network or safely increase the load on a transmission path.		Application	Distribution				function
entity:DistributionSubstation-352	352	Distribution Substation	Distribution Substation	Actor	Logical	A facility who's function is to step-down voltages for distribution feeders. Contains not only transformers, but usually other devices to maintain power quality and reliablity, such as capacitor banks, Ground fault limiters, fuses, reactors.		Facility	Distribution		system actor	grid operator	
entity:DistributionSubstationNetwork-353	353	Distribution Substation Network	Distribution Substation Network	Actor	Logical	These networks interconnect devices within a substation for localized or  a backhauled WAN connection to Grid Operations . A typical example includes a local Ethernet LAN containing switching, protection andcontrol equipment . The Standard protocol of choice is IEC61850 and/or DNP3.		Facility	Distribution				function/ service
entity:DistributionSystemEnergyResources-354	354	Distribution System Energy Resources	Distribution System Energy Resources	Actor	Logical	Generation sources connected to the distribution grid regardless of size. Typically these are utilities owned resources. They do not include Customer-permises or Generation generation assets.	IE: Distribution System Distributed Energy Resources	Device	Distribution		system actor	producer	
entity:DistributionSystemFieldEquipmentConfigurationManagement--355	355	Distribution System Field Equipment Configuration Management:	Distribution System Field Equipment Configuration Management:	Service	Conceptual	This service manages the configuration of field equipment.  Metrics for this service are determined by emerging policies for maintaining field equipment documentation.		Business Service	Distribution				
entity:DistributionSystemServices-356	356	Distribution System Services	Distribution System Services	Role	Conceptual	ServiceCollaboration according to the Article 2.6 of the Directive: "a natural or legal person responsible for operating, ensuring the maintenance of and, if necessary, developing the distribution system in a given area and, where applicable, its interconnections with other systems and for ensuring the long-term ability of the system to meet reasonable demands for the distribution of electricity". Moreover, the DSO is responsible for regional grid access and grid stability, integration of renewables at the distribution level and regional load balancing.		Role	Distribution		role	grid operator	
entity:DistributionSystemServices-DSO--357	357	Distribution System Services (DSO)	Distribution System Services (DSO)	Role		according to the Article 2.6 of the Directive: "a natural or legal person responsible for operating, ensuring the maintenance of and, if necessary, developing the distribution system in a given area and, where applicable, its interconnections with other systems and for ensuring the long-term ability of the system to meet reasonable demands for the distribution of electricity". Moreover, the DSO is responsible for regional grid access and grid stability, integration of renewables at the distribution level and regional load balancing.							
entity:DistributionSystemServices-DSO--358	358	Distribution System Services (DSO)	Distribution System Services (DSO)			Utility responsible for operating the distribution power system							
entity:DistributionSystemServices-DSO--359	359	Distribution System Services (DSO)	Distribution System Services (DSO)	Role		according to the Article 2.6 of the Directive: "a natural or legal person responsible for operating, ensuring the maintenance of and, if necessary, developing the distribution system in a given area and, where applicable, its interconnections with other systems and for ensuring the long-term ability of the system to meet reasonable demands for the distribution of electricity". Moreover, the DSO is responsible for regional grid access and grid stability, integration of renewables at the distribution level and regional load balancing.							
entity:DistributionSystemPowerFlow-DSPF--360	360	Distribution System Power Flow (DSPF)	Distribution System Power Flow (DSPF)			Application that determines the power flows of the distribution system, using the DOMA model							
entity:DistributionSystemSupportOfTransmissionOperations--361	361	Distribution System Support of Transmission Operations:	Distribution System Support of Transmission Operations:	Service	Conceptual	This service manages the integration of distribution systems in support of transmission operations.		Business Service	Distribution				
entity:DistributionSystemsAssetManagement-362	362	Distribution Systems Asset Management	Distribution Systems Asset Management	Service	Conceptual	This service manages distribution systems asset management processes.		Business Service	Distribution				
entity:Distribution-DERSCADASystem-363	363	Distribution/DER SCADA System	Distribution/DER SCADA System										
entity:DistributionsOperationsTraining-364	364	Distributions operations training	Distributions operations training	Service	Conceptual	This service provides a list of distribution operation and maintenance personnel and their qualifications to service or perform work on a particular distribution network element		Business Service	Distribution				
entity:DistrubutionIED-365	365	Distrubution IED	Distrubution IED	-		0.0							
entity:DMSServices-366	366	DMS Services	DMS Services	ServiceComposition		Service of the Distribution Management System							
entity:DRForecast-367	367	DR Forecast	DR Forecast	Service	Conceptual	Provide forecast of demand response capability over multiple near term time periods		Business Service	Market				
entity:DRSupportService-368	368	DR support service	DR support service	Service	Conceptual	Provides metrics for  DR programmes success and customer enrollment		Automation Service	Operations				
entity:DSO-369	369	DSO	DSO	-		-							
entity:DSODEREMS-DDEMS--370	370	DSO DER EMS (DDEMS)	DSO DER EMS (DDEMS)										
entity:DSOServices-371	371	DSO Services	DSO Services			ServiceCollaboration responsible for making decisions for operating the distribution power system							
entity:DSOPlanner-372	372	DSO Planner	DSO Planner			Planner							
entity:DSOSystem-373	373	DSO System	DSO System	Role		0.0							
entity:DSOSystem-374	374	DSO System	DSO System	Role		0.0							
entity:DynamicSystemConfiguration-375	375	Dynamic System configuration	Dynamic System configuration	Service	Conceptual	Provides control necessary to optimize system utilization and stabilty (ie: power flow/PQ/voltage/frequency), such as generation (including DER), system re-configuration, load-management, Demand/Response programmes, field assets such as reactors, capacitor-banks		Automation Service	Transmission				
entity:DynamicSystemConfiguration-376	376	Dynamic system configuration	Dynamic system configuration	Service	Conceptual	Provide a mechanism to dynamically configure devices to maintain the stabilty of the grid		Automation Service	Operations				
entity:DynamicSystemConfiguration-377	377	Dynamic system configuration	Dynamic system configuration	Service	Conceptual	Provide a mechanism to automatically reconfigure physical paths for power flow based on agreed parameters for end customers		Automation Service	Operations				
entity:EconomicDispatchSupportService-378	378	economic dispatch support service	economic dispatch support service	Service	Conceptual	provides a set of analytics that determine which units offer the lowest total cost for the energy delivered to the required locations		Automation Service	Bulk Generation				
entity:EconomicLoadReduction-379	379	Economic load reduction	Economic load reduction	Service	Conceptual	Calculate load reduction scenarios for customer based upon agreed parameters		Automation Service	Operations				
entity:El.Vehicle-EV--380	380	El. Vehicle (EV)	El. Vehicle (EV)	Role		0.0							
entity:El.Vehicle-EV--381	381	El. Vehicle (EV)	El. Vehicle (EV)	Role		0.0							
entity:El.Vehicle-EV-PHV--382	382	El. Vehicle (EV/PHV)	El. Vehicle (EV/PHV)	System		An vehicle with an electric drive (as only drive or in combination with a fuel engine) and a battery which can be charged at a charging station.							
entity:ElectricMeter-383	383	Electric Meter	Electric Meter	Actor	Logical	A device that is either used for revenue grade at the pPoint of sSale measuring or facility grade device used for the transfer of electricity product and measuring usage and possibly control from one domain/system to another		Device	Cross Cutting	Field Monitoring			
entity:ElectricNetworkSP-384	384	Electric Network SP	Electric Network SP	-		0.0							
entity:ElectricPowerSystem-EPS--generic--385	385	Electric Power System (EPS) (generic)	Electric Power System (EPS) (generic)			Facilities that deliver electric power to a load							
entity:ElectricReliabilityDetector-386	386	Electric Reliability Detector	Electric Reliability Detector	Service	Conceptual	Detects  availability of electric  service		Automation Service	Service Provider				
entity:ElectricReliabilityNotification-387	387	Electric Reliability Notification	Electric Reliability Notification	Service	Conceptual	Provides the electric reliability notification		Automation Service	Service Provider				
entity:ElectricStorage-388	388	Electric Storage	Electric Storage	Role	Logical	A system capable of storing power for use at a later time. Examples include pumped water storage, Advanced Energy Systems (AES), Plug-in Electric Vehicles (PEV), and thermal storage systems.	W19: Storage System	Device	Cross Cutting	Process	system actor	consumer, producer	
entity:ElectricVehicle-389	389	Electric Vehicle	Electric Vehicle	Actor	Logical	A motorized car or truck which runs exclusively or partially on stored battery power as opposed to being powered directly by carbon-based fuel. Adiitionally, it plugs into a premise Energy Portal to charge vehicle. A PEV is also an EV (Electric Vehicle) that relies only on electric propulsion. A PEV is also a PHEV (Plug-In-Hybrid Vehicle) that also includes an alternative source of propulsion power.	 IE: Plug-in Electric Vehicle	Device	Customer		system actor	consumer	
entity:ElectricVehicle-EV--390	390	Electric Vehicle (EV)	Electric Vehicle (EV)			Automobile which is powered completely or in part by electricity and whose battery can be charged from an EPS							
entity:ElectricVehicle-TransportationSolutionProviders-391	391	Electric Vehicle / Transportation Solution Providers	Electric Vehicle / Transportation Solution Providers	Actor	Logical	Provider of capabilities for remote monitoring and control (eg: charge/dischare cycles).		Organization	Service Provider		system actor ?	consumer	
entity:ElectricVehicleChargingSP-392	392	Electric Vehicle Charging SP	Electric Vehicle Charging SP	-		special functions like the DR enablement (cost effective PEV Charging and Power Feed) and functions in conjunction with PEV service and maintenance (providing a data connection for PEV health purposes, e.g. managing Power Feed cycles, PEV-SW upgrading &remote fault analysis, etc.							
entity:ElectricVehicleEMS-EVEMS--393	393	Electric Vehicle EMS (EVEMS)	Electric Vehicle EMS (EVEMS)			System that manages the settings for charging electric vehicles, including as DER systems							
entity:ElectricVehicleServiceElement-394	394	Electric Vehicle Service Element	Electric Vehicle Service Element	Actor	Logical	Device which transfers electricity to electric vehicle batteries and which has information exchange capabilities. The charger can either be on-board the vehicle or off-board. On-board chargers require AC energy transfer to the vehicle (either 120 or 240V single phase) and Off-board chargers are within the EVSE and require. Note that information exchange capabilities for the EVSE are provided by the End Use Measurement Device (EUMD). Note new name added to describe the device from the service provider, this defintion needs correction	NR: Electric Vehicle Service Element/Plug-in Electric Vehicle;	Device	Customer		system actor	consumer	
entity:ElectricVehicleServiceProvider-PEVSP--395	395	Electric Vehicle Service Provider (PEV-SP)	Electric Vehicle Service Provider (PEV-SP)	-		0.0							
entity:ElectricVehicleSupplyEquipment-EVSE--396	396	Electric Vehicle Supply Equipment (EVSE)	Electric Vehicle Supply Equipment (EVSE)										
entity:ElectricVehicleSupplyEquipment-EVSE--397	397	Electric Vehicle Supply Equipment (EVSE)	Electric Vehicle Supply Equipment (EVSE)	-		0.0							
entity:EVSE-398	398	EVSE	EVSE	-		-							
entity:ElectricalContractor-399	399	Electrical Contractor	Electrical Contractor	Actor	Logical	Electrical contractors design, install and maintain industrial, commercial and domestic purposes. Alongside power and lighting applications, they  install ICT, Building Automation Systems (BAS), access, fire and security control equipment, lightning protection systems, and emergency power generating systems and renewable energy systems.	E: Installation Service Technician; E: Mertering operator	Organization	Service Provider		business actor	?	
entity:ElectricityInstaller-Contractor-400	400	Electricity Installer / Contractor	Electricity Installer / Contractor	Role		Electrical contractors design, install and maintain intelligent systems for all kinds of industrial, commercial and domestic purposes. Alongside the power and lighting applications, they equally install ICT and telecommunications, public street lighting, high medium and low voltage lines, control and energy management systems, access, fire and security control equipment, lightning protection systems, advertising and identification signs, emergency power generating systems and renewable energy systems.							
entity:ElectricityInstallerContractor-401	401	Electricity Installer Contractor	Electricity Installer Contractor	Actor	Logical	Electrical contractors design, install and maintain intelligent systems for all kinds of industrial, commercial and domestic purposes. Alongside the power and lighting applications, they equally install ICT and telecommunications, public street lighting, high medium and low voltage lines, control and energy management systems, access, fire and security control equipment, lightning protection systems, advertising and identification signs, emergency power generating systems and renewable energy systems.		Organization	Service Provider		business actor	resource ?	
entity:ElectricalPointOfConnection-ECP--402	402	Electrical Point of Connection (ECP)	Electrical Point of Connection (ECP)			Point of electrical connection between the DER source or sink of energy and any EPS. Each DER unit has an ECP connecting it to its local power system; groups of DER units have an ECP where they interconnect to the power system at a specific site or plant; a group of DER units plus local loads have an ECP where they are interconnected to the utility power system. NOTE?For those ECPs between a utility EPS and a plant or site EPS, this point is identical to the point of common coupling (PCC) in the IEEE 1547 "Standard for Interconnecting Distributed Resources with Electric Power Systems".							
entity:ElectricitySP-El.SP--403	403	Electricity-SP (El.-SP)	Electricity-SP (El.-SP)	-		0.0							
entity:EmergingServices-404	404	Emerging Services	Emerging Services	Service	Conceptual	All the functions, services and innovations that have yet to be created. These will be instrumental in defining the Smart Grid of the future.		Application	Service Provider			multiple	function/ service
entity:EmissionsControlSupportService-405	405	emissions control support service	emissions control support service	Service	Conceptual	Provides a secure platform for authorized actors to manage energy sources based emissions targets		Automation Service	Bulk Generation				
entity:EmissionsDataSupportService-406	406	emissions data support service	emissions data support service	Service	Conceptual	provides a support platform for analysis of collected emissions data		Automation Service	Bulk Generation				
entity:EmissionsDetectorService-407	407	emissions detector service	emissions detector service	Service	Conceptual	use an apparatus to collect emissions data		Automation Service	Bulk Generation				
entity:EmissionsHistorian-408	408	Emissions Historian	Emissions Historian	Service	Conceptual	A mechanism to record outputs from sensors attached to emissions sources		Automation Service	Operations				
entity:EmissionsMonitor-409	409	Emissions Monitor	Emissions Monitor	Service	Conceptual	A sensor that monitors the emissions of a grid connected resource		Automation Service	Operations				
entity:EMobilityServiceProvider-eMSP--410	410	e-Mobility Service Provider (eMSP)	e-Mobility Service Provider (eMSP)	-		0.0							
entity:EndCustomerSupportService-411	411	End customer support service	End customer support service	Service	Conceptual	Provide a support system to allow end customers to participate in the wholesale market		Automation Service	Market				
entity:EndDevice-412	412	End Device	End Device	Actor	Logical	A end-use device that consumes or supplies electricity.		Device	Customer		system actor	consumer/ producer	
entity:EndUseMeasurementDevice-413	413	End Use Measurement Device	End Use Measurement Device	Actor	Logical	Device which measures the  energy consumed by a PEV. Used in order to allow rates specific to electric vehicles.  Added name to correspond to device instead of the Service Provider	CM: Electric Vehicle Meter	Device	Customer		system actor	consumer	
entity:EndUseMeasurementDevice-414	414	End Use Measurement Device	End Use Measurement Device	Actor	Logical	Device that measures and communicates the energy consumed by a Plug-in Electric Vehicle (PEV) and communicates the information to theEnergy Service Interface (ESI)		Device	Customer		system actor	consumer	
entity:EndDeviceCommunications-415	415	End-device communications	End-device communications	Service	Conceptual	Provide a mechanism ot communicate with end use equipment		Automation Service	Operations				
entity:EndUserCommunications-416	416	End-user communications	End-user communications	Service	Conceptual	provide a mechanism to communicate with end customers regardless of location		Automation Service	Operations				
entity:Energy-eMobility-Services-417	417	Energy (eMobility) Services 	Energy (eMobility) Services 	Role		A party offering specific services for the charge management of electric vehicles. Services included in the EV Charging Energy (e-Mobility) Service. This role is at the interface of the mobility world, which includes the vehicle (including all associated domains with the electric world), and the energy supply (including all the associated domains). Such type of operator will ease the interface with customers, allowing a good optimization of the charge management to the user needs. An Energy (e-Mobility) Service Operator could offer, at the same time, charge reservation either on its own or through subscription to the Area Energy Service Operator. Additional information: an Energy (e-Mobility) Service Operator could be considered as an Aggregator for specific services linked to the charge management. One benefit of a Energy (e-Mobility) Service Operator offering EV Charging Energy (e-Mobility) Services is to offer, from customer point of view, only one interface for the service, regardless the location it will be provided.							
entity:EnergyAssetAggregation-418	418	Energy Asset Aggregation	Energy Asset Aggregation	Service	Conceptual	Manages a group of devices in the customer domain		Business Service	Customer				
entity:EnergyB2BMarket-419	419	Energy B2B market	Energy B2B market	-		The Energy B2B market is responsible for supplying electricity (and optionally e-pricing)							
entity:EnergyB2BMarket-420	420	Energy B2B market	Energy B2B market	-		0.0							
entity:EnergyContractProcurementSupport-421	421	Energy Contract Procurement Support	Energy Contract Procurement Support	Service	Conceptual	supports operating in the market to handle exchanges of contracts for energy products		Automation Service	Operations				
entity:EnergyCostManagement-422	422	Energy Cost Management	Energy Cost Management	Service	Conceptual	Provide a mechanism to meet cost of energy business goals.		Business Service	Customer				
entity:EnergyDataStorage-423	423	Energy Data Storage	Energy Data Storage	Service	Conceptual	A service that stores energy related data		Automation Service	Customer				
entity:EnergyEfficiencySupportService-424	424	Energy Efficiency support service	Energy Efficiency support service	Service	Conceptual	Provides support for the creation of market products that support Energy Efficiency		Automation Service	Market				
entity:EnergyInformationProvider-425	425	Energy Information Provider	Energy Information Provider	Actor	Logical	A Business that provide energy supply or demand information to Customers or authorized Third Parties.		Organizational Entity	Service Provider			multiple	function/ service
entity:EnergyInformationServices-426	426	energy information services	energy information services	Service	Conceptual	energy information services that allow the customer to manage their loads		Business Service	Service Provider				
entity:EnergyManagement-427	427	Energy Management	Energy Management	Service	Conceptual	Provide a mechanism to influence operation of devices to meet business energy-usage goals.		Business Service	Customer				
entity:EnergyManagement-428	428	Energy Management	Energy Management	Service	Conceptual	A service that provides energy management capabilities to devices		Automation Service	Customer				
entity:EnergyManagement-429	429	Energy Management	Energy Management	Service	Conceptual	Collects energy information from customer premises equipment		Automation Service	Service Provider				
entity:EnergyManagementGateway-430	430	Energy Management Gateway	Energy Management Gateway	System		An access point (functional entity) sending and receiving smart grid related information and commands between actor A and the CEM, letting the CEM decide how to process the events. The communication is often achieved through an internet connection of through a wireless connection.							
entity:EnergyManagementGateway-431	431	Energy management gateway	Energy management gateway	-		An access point (functional entity) sending and receiving smart grid related information and commands between actor A and the CEM, letting the CEM decide how to process the events. The communication is often achieved through an internet connection of through a wireless connection. This gateway may also provide services including protocol conversion, device management, security and service capabilities							
entity:EnergyManagementLAN-432	432	Energy Management LAN	Energy Management LAN	System		Virtual field bus in the smart home, mainly used for energy management functions							
entity:EnergyManagementSystem-433	433	Energy Management System	Energy Management System	System		System which provides applications to monitor and control a transmission grid and the output of the connected power plants from a centralized location, typically the control center. A DMS typically has interfaces to other EMS							
entity:EnergyManagementSystem-434	434	Energy Management System	Energy Management System	Service	Logical	Energy Management System (EMS) is a system of computer-aided tools used by operators of electric utility grids to monitor, control, and optimize the performance of the generation and/or transmission system. EMS also provides Distribution Managment System (DMS) with transmission/generation-related objectives, constraints, and input data from other EMS applications.  EMS also provides Distribution Automation (DA) with transmission/generation-related objectives, constraints, and input data. EMS system contains the transmission power system model, and can provide the transmission connectivity.	RM: EMS	Application	Operations		system actor	grid operator	
entity:EnergyManagementTechnicalSupport-435	435	Energy Management technical support	Energy Management technical support	Service	Conceptual	Collects energy information from customer premises equipment		Automation Service	Service Provider				
entity:EnergyManager-436	436	Energy Manager	Energy Manager	Application		This gateway may also provide services including protocol conversion, device management, security and service capabilities							
entity:EnergyMarketClearinghouse-437	437	Energy Market Clearinghouse	Energy Market Clearinghouse	Role	Conceptual	Wholesale market for energy products provides high-level market signals for operations I(ndependent System Operators (RTO)/Regional Transmission Operators (RTO) and Utility Operations), generation, Distributed Generation (DG) and demand response (DR) programmes.		Organization	Market		role	?	
entity:EnergyMarketManagementSystem-438	438	Energy Market Management System	Energy Market Management System	System		System which provides applications to manage all transactions and workflows necessary to implement an energy market							
entity:EnergyMeasurement-439	439	energy measurement	energy measurement	Service	Conceptual	provide measurement of end-customer consumption		Business Service	Operations				
entity:EnergyMeasurement-440	440	Energy Measurement	Energy Measurement	Service	Conceptual	Metrology service		Automation Service	Customer				
entity:EnergyMonitoring-441	441	Energy Monitoring	Energy Monitoring	Service	Conceptual	Provide a mechanism to monitor aspects of energy as required to meet business goals.		Business Service	Customer				
entity:EnergyMonitoring-442	442	Energy Monitoring	Energy Monitoring	Service	Conceptual	A service that monitors Energy Characteristics.		Automation Service	Customer				
entity:EnergyOutageDetection-443	443	Energy Outage Detection	Energy Outage Detection	Service	Conceptual	A service that collects information about energy outages.		Automation Service	Customer				
entity:EnergyPriceNotification-444	444	Energy Price Notification	Energy Price Notification	Service	Conceptual	Provides price signal to customer		Automation Service	Service Provider				
entity:EnergyPricingService-445	445	Energy Pricing Service	Energy Pricing Service	Service	Conceptual	Creates prices for individual customers for specific time periods based on condition based market rules		Automation Service	Market				
entity:EnergyRestoration-446	446	Energy Restoration	Energy Restoration	Service	Conceptual	A service that restores operation of the grid safely after a major energy outage.		Automation Service	Customer				
entity:EnergyServiceProvider-447	447	Energy Service Provider	Energy Service Provider	Role	Conceptual	Provides retail electricity, natural gas, and clean energy options, along with energy efficiency products and services.	E: Energy Service Company (ESCO)	Organization	Service Provider	Enterprise	role	?	
entity:EnergyServiceProviderESP-448	448	Energy Service Provider, ESP	Energy Service Provider, ESP	Role		Organisation offering energy services to the consumer.							
entity:EnergyServicesGateway-449	449	Energy Services Gateway	Energy Services Gateway	Actor	Logical	Network communications application device which provides a communications capability between premise network domains and network domains esternal to the premise network domain e.g. a gateway.  When the gateway service is applied to the communications gateway from the utility (or other energy service provider) to the customer (premise network), additional functionality maybe applied (aka. Energy Services Interface) site. Provides cyber security and coordinates functions that enable secure interactions between relevant Home Area Network (HAN) Devices, meters and the Utility/ESP.  Permits applications such as remote load control, monitoring and control of distributed generation, in-home display of customer usage, reading of non-energy meters, and integration with building management systems.  Provides auditing/logging functions that record transactions to and from Home Area Networking Devices. Can also act as a gateway. Also commonly referred to as a Home-Area Network Gateway, or Residential Gateway.	RM: Meter/HAN Gateway;  NR: Home Area Network Gateway; CM: Home Gateway;	Device ?	Customer		system actor	consumer	
entity:EnergyServicesInterface-450	450	Energy Services Interface	Energy Services Interface	Service	Logical	Network communications application device which provides a gateway from the utility (or other energy service provider) to the customer site. Provides cyber security and coordinates functions that enable secure interactions between relevant Home Area Network (HAN) Devices, meters and the Utility/ESP.  Permits applications such as remote load control, monitoring and control of distributed generation, in-home display of customer usage, reading of non-energy meters, and integration with building management systems.  Provides auditing /logging functions that record transactions to and from Home Area Networking Devices. This services is also a specialized class of services potentially included in HAN gateways. Also commenly referred to as a Home-Area Network Gateway.	NR: Energy Service Interface g/Gateway; IE: Energy Service Interface	Application	Customer				function/ service
entity:EnergyServicesInterface-ESI--451	451	Energy Services Interface (ESI)	Energy Services Interface (ESI)										
entity:EnergySourceControlSupportService-452	452	energy source control support service	energy source control support service	Service	Conceptual	Provide a platform for the secure control of energy sources		Automation Service	Bulk Generation				
entity:EnergySourceMeasurementAggregationService-453	453	Energy source measurement aggregation service	Energy source measurement aggregation service	Service	Conceptual	Provide a platform to aggregate the operational information from the energy sources		Automation Service	Bulk Generation				
entity:EnergySourceMeasurementService-454	454	energy source measurement service	energy source measurement service	Service	Conceptual	Provide an apparatus that measures the operational characteristics of energy sources		Automation Service	Bulk Generation				
entity:EnergySourceScheduleSupportService-455	455	energy source schedule support service	energy source schedule support service	Service	Conceptual	Provide a platform to coordinate the schedules of energy sources attached to the grid to meet projected demand requirements		Automation Service	Bulk Generation				
entity:EnergyStorageManagement-456	456	Energy Storage Management	Energy Storage Management	Service	Logical	A utility provided service to superviseor storage management on behalf of the customers.	RM: Utility EMS; NR: Bulk Storage Management	Application	Operations	Enterprise			
entity:EnergySupplyCompany-457	457	Energy Supply Company	Energy Supply Company	Role	Logical	A company that delivers electricity to end use customers. Examples include investor-owned, municipal utilities, private providers.	XX: Energy Supplier	Organization	Distribution		role	?	
entity:EnergySupplyConfiguration-458	458	Energy Supply Configuration	Energy Supply Configuration	Service	Conceptual	A service that changes Energy Supply Configuration.		Automation Service	Customer				
entity:EnergyTradingApplication-459	459	Energy Trading Application	Energy Trading Application	System		Application(s) which are used to trade energy in corresponding markets, supports the dispatch in the decision to buy, sell or to self-produce energy and also provides facilities to exchange the necessary information with the Energy Market Management Systems							
entity:EnergyUsageReporting-460	460	Energy Usage reporting	Energy Usage reporting	Service	Conceptual	Provide energy usage information on behalf of the customer to authorized parties		Automation Service	Service Provider				
entity:EnterpriseResourcePlanning-ERP--461	461	Enterprise Resource Planning (ERP)	Enterprise Resource Planning (ERP)	System		Enterprise Resource Planning (ERP) systems integrate internal and external management information across an entire organization, embracing finance/accounting, manufacturing, sales and service, customer relationship management, etc. (source: Wikipedia)							
entity:EnvironmentalAuthority-462	462	Environmental Authority	Environmental Authority	Role	Conceptual	A regulatory authority responsible for the development, reporting and enforcement of environmental activities.		Organization	Agency	Enterprise	role	?	
entity:EnvironmentalMonitoring-463	463	Environmental Monitoring	Environmental Monitoring	Service	Conceptual	Provide a mechanism to collect environmental data about the impact of energy supply sources in the system.		Business Service	Customer				
entity:EnvironmentalMonitroing-464	464	Environmental Monitroing	Environmental Monitroing	Service	Conceptual	A service that obtains environmental monitoring data from a variety of sources		Automation Service	Customer				
entity:EnvironmentalMonitroing-465	465	Environmental Monitroing	Environmental Monitroing	Service	Conceptual	A service which monitors the domain environment		Automation Service	Cross-cutting				
entity:EPSSwitch-466	466	EPS switch	EPS switch			Switch plus its controller within an EPS							
entity:EquipmentCapacitySimulator-467	467	Equipment capacity simulator	Equipment capacity simulator	Service	Conceptual	utilizes equipment engineering design, Operational Historian and current equipment state  to simulate  safe operating limits and remaining capacity		Automation Service	Transmission				
entity:EquipmentDetectionAgent-468	468	Equipment detection agent	Equipment detection agent	Service	Conceptual	Mechanism to provide control signals to grid attached equipment that keeps the equipment operating within the desired performance band		Automation Service	Operations				
entity:EquipmentLifeCycleForecaster-469	469	Equipment life cycle forecaster	Equipment life cycle forecaster	Service	Conceptual	provide the ability to forecast the remaining life of a managed device based on projected operational characteristics		Automation Service	Transmission				
entity:EquipmentLoadForecaster-470	470	equipment load forecaster	equipment load forecaster	Service	Conceptual	Provides a forecast of equipment loading based on historical data		Automation Service	Transmission				
entity:EquipmentMonitor-471	471	equipment monitor	equipment monitor	Service	Conceptual	process that monitors and reports field equipment status/alerts		Automation Service	Transmission				
entity:EquipmentMonitor-472	472	Equipment monitor	Equipment monitor	Service	Conceptual	provide a mechanism to communicate with attached devices to determine operational capabilities		Automation Service	Operations				
entity:EquipmentMonitor-473	473	Equipment monitor	Equipment monitor	Service	Conceptual	mechanism that maintains equipment status		Automation Service	Operations				
entity:EquipmentStatusCollector-474	474	equipment status collector	equipment status collector	Service	Conceptual	provides a hub were equipment status information is housed for authorized actors		Automation Service	Bulk Generation				
entity:EquipmentStatusDetector-475	475	equipment status detector	equipment status detector	Service	Conceptual	provides an apparatus that can be deployed into the grid to detect operational characteristics of grid attached devices		Automation Service	Bulk Generation				
