entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:AnalzyeEvent-35	35	Analzye event	Analzye event	Service	Conceptual	Reconstruct the dynamic values of grid attributes around the time of a past grid event		Business Service	Operations				
entity:AncillaryOpsMarket-36	36	Ancillary Ops Market	Ancillary Ops Market	Service	Conceptual	Provide a market to provide frequency support, voltage support, spinning reserve and other services as defined by FERC, NERC and the various ISO. These markets normally function on a regional or ISO basis.		Application	Market	Enterprise			function/ service ?
entity:AncillaryServiceProviders-37	37	Ancillary Service Providers	Ancillary Service Providers	Actor	Logical	ServiceComposition providing third-party ancillary services to provide frequency support, voltage support, spinning reserve and other services as defined by FERC, NERC and the variousttransmission authority,		Organization	Service Provider		role	reserve  allocator ?	
entity:AncillaryServicesManagement-38	38	Ancillary services management	Ancillary services management	Service	Conceptual	Provide a mechanism to manage the operation of grid connected energy resources that are enrolled for ancillary services		Automation Service	Operations				
entity:AncillaryServicesSupport-39	39	ancillary services support	ancillary services support	Service	Conceptual	Provide a platform to analyze market needs for operational provisioning of ancillary services		Automation Service	Bulk Generation				
entity:ApplianceCustomer-40	40	Appliance - Customer	Appliance - Customer	Actor	Logical  - 2nd	Consumer (in-home) electric device.  Potentially controllable (making them Customer Devices) to reduce/increase load as directed.  Includeslights,  pool pumps, air conditioners, electric water heaters, refrigerators, washers, electric dryers, dishwashers, &c.		Device	Customer		system actor	party connected to the grid	
entity:ApplianceControl-41	41	Appliance Control	Appliance Control	Service	Logical	The role associated with the external control of an End Device.		Application	Customer		role	consumption responsible party	
entity:Appliances-42	42	Appliances	Appliances	System		Object devices							
entity:ApplicationManagement-43	43	Application Management	Application Management	Service	Conceptual	This service manages smart grid applications		Business Service	Cross-cutting				
entity:AreaEnergyServices-44	44	Area Energy Services	Area Energy Services	Role		ServiceComposition offering services regarding the energy management of a specific location or geographical area. These services could be dedicated to the charge management of electric vehicles as well as the energy management of the location, like tertiary buildings (in such a case the charging of EVs could be included in a local optimization).An Area Energy Service Operator could, at the same time, offer EV charging Energy (e-Mobility) Services (user profile and billing could be integrated in its service offer). Additional information: an Area Energy Service Operator could be considered as an Aggregator for specific services, linked to the charge management. Also, an EPS that serves Local EPSs							
entity:Assessment-45	45	Assessment	Assessment	Service	Conceptual	A service that assesses configuration viability		Automation Service	Customer				
entity:AssetInformation-46	46	asset information	asset information	Service	Conceptual	Provides a repository of equipment characteristics including operational conditions		Automation Service	Transmission				
entity:AssetInventory-47	47	Asset inventory	Asset inventory	Service	Conceptual	Maintaining current inventory of distribution system assets.		Automation Service	Distribution				
