entity	index	name	label	val	actorOrService	hierarchy	description	aDWPOriginalFocus	aMISystems	actorTypeOrRole	ahGCharging	archiMateTerminologyLayers	businessFunctionService	cSWGActors	cSWGNISTIR7628	clusterLabel	colC	colD	conceptualModel	dKERepository	demandResponse	distributionGridMgmt	eG3	eIS	eNTSOERoleModel	eUCommission	eUSCCGWP1	eUSourceunknown	eUWGSPVers05	electricStorage	electricTransportaion	gUC	harmonizationNotes	homeworkBlocks	iEC61968IRM	iECSG3	iECTC57WG19TC8WG6DERActorRoles	iEEEP2030Draft3	manufacturerCIMIECTypeOfZone	nAESB	nISTLegacyDomain	new	note	notes	originalAlternativeEntityNameIncludingEntityNamesAreDuplicates	referenceDiagram	relatedRole	rolefromRoleTab	rowActionFlagDeletedHarmonizeh	sGACConceptualArch	sMCG	type	uSEUInput	wASA
entity:DERUnit-generic--282	282	DER Unit (generic)	DER Unit (generic)	X	Actor	Physical	Prime mover and converter to and/or from electrical energy, , including generators, energy storage, and controllable load									DER																					X						Lvl 1 DER											
entity:DistributedEnergyResource-DER--generic--314	314	Distributed Energy Resource (DER) (generic)	Distributed Energy Resource (DER) (generic)	X	ServiceComposition	Physical	A distributed set of one or more energy service resources, including generators, energy storage, controllable load, and ancillary services									DER																					X						Lvl 1 DER											
entity:DistributionOperationsModelAndAnalysis-DOMA--342	342	Distribution Operations Model and Analysis (DOMA)	Distribution Operations Model and Analysis (DOMA)	X	ServiceComposition	Physical	Topological model of distribution system, including the location and profile characteristics of all distribution equipment and DER systems (individually and/or in aggregate). This model is derived from the geographic model in the GIS, the facilities information (often included in the GIS and/or an asset management database), and the DER profiles (derived from the CIS and DER characteristics database)									DER																					X						Lvl 4 DSO											
entity:DistributionSystemPowerFlow-DSPF--360	360	Distribution System Power Flow (DSPF)	Distribution System Power Flow (DSPF)	X	ServiceComposition	Logical	Application that determines the power flows of the distribution system, using the DOMA model									DER																					X						Lvl 4 DSO											
entity:Distribution-DERSCADASystem-363	363	Distribution/DER SCADA System	Distribution/DER SCADA System	X	ServiceComposition	Logical										DER																					X						Lvl 4 DSO											
entity:DSOServices-371	371	DSO Services	DSO Services	X	ServiceComposition	Logical	ServiceCollaboration responsible for making decisions for operating the distribution power system									DER																					X						Lvl 4 DSO											
entity:DSOPlanner-372	372	DSO Planner	DSO Planner	X	Service	Logical	Planner									DER																					X						Lvl 4 DSO											
entity:ElectricMeter-383	383	Electric Meter	Electric Meter	X	Actor	Logical	A device that is either used for revenue grade at the pPoint of sSale measuring or facility grade device used for the transfer of electricity product and measuring usage and possibly control from one domain/system to another	X																													X		Field Monitoring		Cross Cutting											Device	US	
entity:ElectricStorage-388	388	Electric Storage	Electric Storage	X	Role	Logical	A system capable of storing power for use at a later time. Examples include pumped water storage, Advanced Energy Systems (AES), Plug-in Electric Vehicles (PEV), and thermal storage systems.	X		system actor						1.0			X																		X		Process		Cross Cutting			this is the role played played by other logical actors such as batteries, cap-banks, chemical reactions (which as logical subclasses of electrical storage)	W19: Storage System		consumer, producer					Device	US	
entity:ElectricalPointOfConnection-ECP--402	402	Electrical Point of Connection (ECP)	Electrical Point of Connection (ECP)	X	Actor	Physical	Point of electrical connection between the DER source or sink of energy and any EPS. Each DER unit has an ECP connecting it to its local power system; groups of DER units have an ECP where they interconnect to the power system at a specific site or plant; a group of DER units plus local loads have an ECP where they are interconnected to the utility power system. NOTE?For those ECPs between a utility EPS and a plant or site EPS, this point is identical to the point of common coupling (PCC) in the IEEE 1547 "Standard for Interconnecting Distributed Resources with Electric Power Systems".									DER																					X																	
entity:EnergyServiceProvider-447	447	Energy Service Provider	Energy Service Provider	x	Role	Conceptual	Provides retail electricity, natural gas, and clean energy options, along with energy efficiency products and services.	X	X	role					X		ESI	ESI	X												X						x	X	Enterprise		Service Provider				E: Energy Service Company (ESCO)	X	?		h			Organization	US	
entity:EPSSwitch-466	466	EPS switch	EPS switch	X	ServiceComposition	Physical	Switch plus its controller within an EPS									DER																					X						Lvl 0 EPS											
entity:EVPricingProgram-478	478	EV Pricing Program	EV Pricing Program	X	Service	Logical	Special pricing for charging EVs									DER																					X						Lvl 5 Trans. And Market											
